word,weight
app friend,0.3344813190660912
app frustrating,-0.33272906265513663
app fun,-0.027880805996251565
app function,-0.736381982962893
app game,0.7037972443794609
app garbage,-0.3357285528058592
app general,-0.5878505608373714
app get,-1.2419811176679587
app getting,0.14849190245581217
app give,0.08060887016277611
app glitch,-0.12470805444556021
app glitche,-0.48750461422167074
app go,-1.1848679618103704
app good,1.1396414670476993
app google,-0.20487755628681723
app great,1.7142381362042973
app guess,-0.19045031749356184
app guy,-0.443294207565357
app ha,0.46499018975752104
app hai,-0.25280481017948286
app hang,-0.3022969100265376
app happen,-0.03660119411889803
app happy,0.7725835866152905
app hard,0.091418801383218
app hate,-0.17918000643873275
app have,-0.34932563249143267
app hear,-0.4351094405193728
app help,1.096344078332071
app helpful,0.24386481257942874
app highly,-0.031406964668143245
app honestly,0.01845593748517166
app hope,-0.09893719298412036
app horrible,-0.5251144655873662
app huge,0.015742466209345787
app icon,-0.6352164245007637
app ill,-0.18454862572204234
app immediately,-0.2522304266439982
app important,1.1093396822801247
app improve,0.16276545929689215
app incredibly,0.017189789683965152
app instagram,0.05087944859883896
app instal,-0.9400321239222997
app install,-0.721369588942148
app instead,0.22188972364857337
app interesting,0.19621216042227183
app interface,0.12507319128616987
app internet,-0.42160736985383934
app issue,-0.25592854628814293
app keep,-1.274513446012856
app know,0.3776768754849184
app ko,-0.5269063813902296
app lag,-1.1870480046984924
app laggy,-0.38276916172045944
app late,0.07619767307133568
app let,0.09458080303504034
app life,0.5686452159682539
app like,0.5315848373413274
app line,-0.03907876167493255
app listen,1.0175212309089916
app literally,-0.5870471378547073
app little,0.19550762795858942
app load,-0.35904286181467227
app lock,-0.5053027531972255
app log,-0.6267034067798329
app login,-0.21139770352337445
app long,0.0910996712817819
app look,0.12839417802588074
app lose,0.009426859250216357
app lot,0.7033274336921745
app love,0.43537908871824094
app make,0.06557470621104418
app manage,0.13432305433565153
app matter,0.16870849121048787
app mean,0.023465356756441867
app mess,-0.09933251272711416
app message,0.23833692133941833
app microsoft,0.4098904393643064
app miss,0.036345033292174915
app mobile,0.6751092506874027
app money,-0.14744472274194584
app month,-0.281951051299012
app movie,1.3638876728790676
app multiple,0.10504222154113095
app music,1.2403382825958664
app na,0.13023165933122682
app need,-0.26450946920772606
app netflix,0.2865130599785267
app new,-0.2664003688745636
app news,0.1976018036769313
app nice,0.6925233953397579
app not,-0.38083035762999434
app notification,-0.13964463527987706
app offer,0.2557636013736067
app ok,-0.34599080484126365
app okay,-1.7101196727200698
app old,-0.05654318571329474
app online,0.05139926139544315
app open,-1.436317546471775
app option,-0.016243292650699546
app overall,0.07776682707555439
app past,-0.1883512052257583
app pay,-0.1136880957146117
app pc,-0.38494938308113025
app people,0.6693372830792861
app perfect,0.723737929108659
app performance,-0.0511323418268333
app permission,-0.022889151435227035
app phone,0.3648482030766456
app photo,0.230690525664649
app picture,0.6685082729534745
app platform,-0.1134919811232415
app play,-0.48505469455479594
app pls,-0.4758850413260336
app point,-0.13284654889951802
app poor,0.9039935421649598
app pop,-0.17543193382192318
app ppt,0.1691178638913011
app premium,0.2901288508638513
app presentation,0.6783046451381323
app pretty,-0.6090255278666526
app privacy,0.2440502803661395
app problem,0.33495777069630184
app properly,-0.21374461974917858
app provide,0.46243622215094765
app push,-0.19739179498161627
app quick,0.28801988406331797
app randomly,-0.32408730504909233
app read,0.04765335607700916
app real,0.4047510781077993
app reason,-0.1871035183005382
app receive,-0.15772425489139608
app recent,-0.2817520993676801
app recently,0.1710109958543558
app recommend,-0.36243454229852684
app refresh,-0.2742553475240864
app refuse,0.07093944225815903
app reinstall,-0.2433789493235847
app reliable,0.05980495294138803
app remove,-0.3065809581869157
app reopen,-0.34758781592230925
app request,0.32302740582302414
app require,0.39609233209078937
app reset,0.03920325503100235
app respond,-0.19033227773984024
